lemmatized_question,sequence
who {VERB} {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how connected are {ORGANIZATION1} and {ORGANIZATION2} ,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
how connected are {PERSON1} and {PERSON2},OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
are {ORGANIZATION} and {LOCATION} related,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
are {ORGANIZATION} and {PERSON} related,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
are {ORGANIZATION1} and {ORGANIZATION2} related,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
are {PERSON1} and {PERSON2} related,OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
are {ORGANIZATION} and {LOCATION} connected,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
are {ORGANIZATION} and {PERSON} connected,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
are {ORGANIZATION1} and {ORGANIZATION2} connected,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
are {PERSON1} and {PERSON2} connected,OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
is {ORGANIZATION} related to {LOCATION} ,OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
is {ORGANIZATION} related to {PERSON},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
is {ORGANIZATION1} related to {ORGANIZATION2},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
is {PERSON1} related to {PERSON2},OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
is {ORGANIZATION} connected to {LOCATION},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
is {ORGANIZATION} connected to {PERSON},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON}
is {ORGANIZATION1} connected to {ORGANIZATION2},OPERATION SHORTEST_PATH | VERTEX Organization | CONDITION  name = {ORGANIZATION1} | EDGE any | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION2}
is {PERSON1} connected to {PERSON2},OPERATION SHORTEST_PATH | VERTEX Person | CONDITION  name = {PERSON1} | EDGE any | CONDITION any | VERTEX Person | CONDITION name = {PERSON2}
who {VERB1} in organizations that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in organizations that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in organizations that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in companies that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in companies that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in companies that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in institutions that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in institutions that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in institutions that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in businesses that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in businesses that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in businesses that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in enterprises that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in enterprises that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in enterprises that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in divisions that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in divisions that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in divisions that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in branches that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in branches that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in branches that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in units that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in units that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in units that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in groups that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in groups that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in groups that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
who {VERB1} in people that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
who {VERB1} in people that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
who {VERB1} in people that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which companies {VERB1} in organizations that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which companies {VERB1} in organizations that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which companies {VERB1} in organizations that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which companies {VERB1} in companies that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which companies {VERB1} in companies that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which companies {VERB1} in companies that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which companies {VERB1} in institutions that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which companies {VERB1} in institutions that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which companies {VERB1} in institutions that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which companies {VERB1} in businesses that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which companies {VERB1} in businesses that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which companies {VERB1} in businesses that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which companies {VERB1} in enterprises that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which companies {VERB1} in enterprises that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which companies {VERB1} in enterprises that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which companies {VERB1} in people that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which companies {VERB1} in people that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which companies {VERB1} in people that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which organizations {VERB1} in organizations that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which organizations {VERB1} in organizations that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which organizations {VERB1} in organizations that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which organizations {VERB1} in companies that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which organizations {VERB1} in companies that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which organizations {VERB1} in companies that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which organizations {VERB1} in institutions that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which organizations {VERB1} in institutions that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which organizations {VERB1} in institutions that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which organizations {VERB1} in businesses that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which organizations {VERB1} in businesses that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which organizations {VERB1} in businesses that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which organizations {VERB1} in enterprises that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which organizations {VERB1} in enterprises that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which organizations {VERB1} in enterprises that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
which organizations {VERB1} in people that {VERB2} in {ORGANIZATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
which organizations {VERB1} in people that {VERB2} in {PERSON},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
which organizations {VERB1} in people that {VERB2} in {LOCATION},VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many is {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many was {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many were {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many has {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many have {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many had {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many are {VERB} {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB} | CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many {VERB1} in organizations that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many are {VERB1} in organizations that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many have {VERB1} in organizations that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many were {VERB1} in companies that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many are {VERB1} in companies that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many have {VERB1} in companies that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many were {VERB1} in institutions that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many are {VERB1} in institutions that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many have {VERB1} in institutions that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many were {VERB1} in businesses that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many {VERB1} in businesses that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many are {VERB1} in businesses that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many were {VERB1} in enterprises that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many have {VERB1} in enterprises that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many {VERB1} in enterprises that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many are {VERB1} in divisions that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many were {VERB1} in divisions that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many have {VERB1} in divisions that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many had {VERB1} in branches that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many are {VERB1} in branches that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many {VERB1} in branches that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many were {VERB1} in units that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many are {VERB1} in units that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many have {VERB1} in units that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many {VERB1} in groups that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
how many are {VERB1} in groups that {VERB2} in {PERSON},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Person | CONDITION name = {PERSON}
how many were {VERB1} in groups that {VERB2} in {LOCATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Organization | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Location | CONDITION name = {LOCATION}
how many have {VERB1} in people that {VERB2} in {ORGANIZATION},OPERATION COUNT | VERTEX any | CONDITION any | EDGE {VERB1} | CONDITION any | VERTEX Person | CONDITION any | EDGE {VERB2} |CONDITION any | VERTEX Organization | CONDITION name = {ORGANIZATION}
